director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
roland joffé,jordi mollà,dougray scott,lily cole,biography drama war,there be dragons,jordi mollà dougray scott lily cole roland joffé biography drama war dying forgiveness saint spanish civil war starts with narration english
richard donner,rene russo,nick chinlund,stuart wilson,action crime thriller,lethal weapon 3,rene russo nick chinlund stuart wilson richard donner action crime thriller gangster gun internal affairs police police officer english
john lee hancock,catherine dyer,quinton aaron,kim dickens,biography drama sport,the blind side,catherine dyer quinton aaron kim dickens john lee hancock biography drama sport american football based on true story football star high school football left tackle english
unknown_director,jon foo,aimee garcia,wendie malick,action comedy crime,rush hour            ,jon foo aimee garcia wendie malick unknown_director action comedy crime unknown_keywords english
robert rodriguez,alexa penavega,cheech marin,daryl sabara,action adventure comedy family sci-fi,spy kids,alexa penavega cheech marin daryl sabara robert rodriguez action adventure comedy family sci-fi brother sister relationship espionage rescue secret agent spy english
seth gordon,kevin spacey,lindsay sloane,reginald ballard,comedy crime,horrible bosses,kevin spacey lindsay sloane reginald ballard seth gordon comedy crime black comedy boss chemical company dental assistant murder english
ethan coen,matt damon,jeff bridges,bruce green,adventure drama western,true grit,matt damon jeff bridges bruce green ethan coen adventure drama western arkansas murder sheriff texas ranger u.s. marshal english
david frankel,meryl streep,anne hathaway,rebecca mader,comedy drama romance,the devil wears prada,meryl streep anne hathaway rebecca mader david frankel comedy drama romance fashion fashion industry magazine new york city publishing english
robert wise,leonard nimoy,nichelle nichols,walter koenig,adventure mystery sci-fi,star trek: the motion picture,leonard nimoy nichelle nichols walter koenig robert wise adventure mystery sci-fi alien space space station spacecraft warp speed english
seth gordon,jon favreau,eric stonestreet,t.i.,comedy crime,identity thief,jon favreau eric stonestreet t.i. seth gordon comedy crime bounty hunter credit card cross country identity police english
martin scorsese,robert de niro,robert mitchum,joe don baker,crime thriller,cape fear,robert de niro robert mitchum joe don baker martin scorsese crime thriller lawyer neo noir prison rapist southern gothic english
robert luketic,kevin spacey,jim sturgess,josh gad,crime drama thriller,21,kevin spacey jim sturgess josh gad robert luketic crime drama thriller based on true story blackjack card counting gambling massachusetts institute of technology english
judd apatow,amy schumer,randall park,josh segarra,comedy romance,trainwreck,amy schumer randall park josh segarra judd apatow comedy romance actress playing herself actress shares first name with character fired from a job male nudity written by star english
kevin rodney sullivan,bernie mac,nicole sullivan,sherri shepherd,comedy romance,guess who,bernie mac nicole sullivan sherri shepherd kevin rodney sullivan comedy romance argument engagement family relationships love undressing english
anthony minghella,colin firth,kristin scott thomas,jürgen prochnow,drama romance war,the english patient,colin firth kristin scott thomas jürgen prochnow anthony minghella drama romance war church english flashback nurse patient english
curtis hanson,kevin spacey,matt mccoy,paul guilfoyle,crime drama mystery thriller,l.a. confidential,kevin spacey matt mccoy paul guilfoyle curtis hanson crime drama mystery thriller 1950s call girl corruption murder police detective english
mike mitchell,michael angarano,kelly preston,nicholas braun,adventure comedy family sci-fi,sky high,michael angarano kelly preston nicholas braun mike mitchell adventure comedy family sci-fi coming of age friend high school sidekick superpower english
frank oz,tom selleck,wilford brimley,lauren ambrose,comedy,in & out,tom selleck wilford brimley lauren ambrose frank oz comedy academy award gay high school reporter teacher english
roger donaldson,natasha henstridge,marg helgenberger,jordan lund,action horror sci-fi thriller,species,natasha henstridge marg helgenberger jordan lund roger donaldson action horror sci-fi thriller alien interspecies sex scientist sexual attraction train english
tarsem singh,dylan baker,jake weber,james gammon,horror sci-fi thriller,the cell,dylan baker jake weber james gammon tarsem singh horror sci-fi thriller coma fbi race against time serial killer strong female lead english
randall wallace,leonardo dicaprio,anne parillaud,judith godrèche,action adventure,the man in the iron mask,leonardo dicaprio anne parillaud judith godrèche randall wallace action adventure france musketeer three musketeers twin twin brother english
randall wallace,scott glenn,kevin connolly,dylan walsh,biography drama family history sport,secretariat,scott glenn kevin connolly dylan walsh randall wallace biography drama family history sport eccentric horse racing newspaper clipping stallion triple crown english
kevin munroe,chris evans,sarah michelle gellar,mako,action adventure animation comedy family fantasy sci-fi,tmnt,chris evans sarah michelle gellar mako kevin munroe action adventure animation comedy family fantasy sci-fi martial arts master monster new york city turtle warrior english
michael tollin,alfre woodard,riley smith,debra winger,biography drama sport,radio,alfre woodard riley smith debra winger michael tollin biography drama sport coach football football coach high school radio english
will gluck,mila kunis,justin timberlake,masi oka,comedy romance,friends with benefits,mila kunis justin timberlake masi oka will gluck comedy romance blow job female rear nudity girl in panties male objectification no panties english
nicholas stoller,chloë grace moretz,ike barinholtz,kiersey clemons,comedy,neighbors 2: sorority rising,chloë grace moretz ike barinholtz kiersey clemons nicholas stoller comedy bare chested male gay gay best friend gay man gay marriage proposal english
john lee hancock,tom hanks,ruth wilson,b.j. novak,biography comedy drama history music,saving mr. banks,tom hanks ruth wilson b.j. novak john lee hancock biography comedy drama history music author disney loss of father reference to walt disney suppression of emotion english
spike lee,denzel washington,delroy lindo,al freeman jr.,biography drama history romance,malcolm x,denzel washington delroy lindo al freeman jr. spike lee biography drama history romance african american black history civil rights ku klux klan nation of islam english
judd apatow,charlyne yi,maude apatow,mackenzie aladjem,comedy,this is 40,charlyne yi maude apatow mackenzie aladjem judd apatow comedy 40th birthday aging birthday sex viagra english
walt becker,robin williams,bernie mac,ann-margret,comedy family,old dogs,robin williams bernie mac ann-margret walt becker comedy family best friend business deal impulse public relations twin english
patrick tatopoulos,craig parker,kevin grevioux,steven mackintosh,action adventure fantasy sci-fi thriller,underworld: rise of the lycans,craig parker kevin grevioux steven mackintosh patrick tatopoulos action adventure fantasy sci-fi thriller battle slave vampire warrior werewolf english
ken kwapis,robin williams,christine taylor,mindy kaling,comedy romance,license to wed,robin williams christine taylor mindy kaling ken kwapis comedy romance box office flop church kissing usa wedding english
dennis dugan,jon lovitz,jon heder,tim meadows,comedy romance sport,the benchwarmers,jon lovitz jon heder tim meadows dennis dugan comedy romance sport baseball baseball team bully millionaire team english
gary david goldberg,stockard channing,victor webster,elizabeth perkins,comedy romance,must love dogs,stockard channing victor webster elizabeth perkins gary david goldberg comedy romance date dating dog love teacher english
mike newell,johnny depp,al pacino,anne heche,biography crime drama,donnie brasco,johnny depp al pacino anne heche mike newell biography crime drama fbi mafia money racial slur singer english
paul w.s. anderson,milla jovovich,jaymes butler,colin salmon,action horror sci-fi,resident evil,milla jovovich jaymes butler colin salmon paul w.s. anderson action horror sci-fi amnesia quarantine special forces virus zombie english
ethan coen,j.k. simmons,tom hanks,stephen root,comedy crime thriller,the ladykillers,j.k. simmons tom hanks stephen root ethan coen comedy crime thriller casino irony of fate landlady professor remake english
john moore,mila kunis,beau bridges,jamie hector,action crime drama mystery thriller,max payne,mila kunis beau bridges jamie hector john moore action crime drama mystery thriller corporation death ex partner hallucination police detective english
andrew niccol,matt bomer,olivia wilde,justin timberlake,action sci-fi thriller,in time,matt bomer olivia wilde justin timberlake andrew niccol action sci-fi thriller currency future murder on the run time english
alan poul,danneel ackles,noureen dewulf,tom bosley,comedy romance,the back-up plan,danneel ackles noureen dewulf tom bosley alan poul comedy romance artificial insemination baby cheese chick flick pet shop english
luke greenfield,ashley williams,steve howey,kirsten day,comedy drama romance,something borrowed,ashley williams steve howey kirsten day luke greenfield comedy drama romance best friend crush law school lawyer loud sex english
unknown_director,jodi lyn o'keefe,kimberly elise,logan browning,drama romance,hit the floor            ,jodi lyn o'keefe kimberly elise logan browning unknown_director drama romance affair hip hop sex scene english
gil junger,tom wilkinson,marsha thomason,vincent regan,adventure comedy fantasy,black knight,tom wilkinson marsha thomason vincent regan gil junger adventure comedy fantasy 14th century king knight sword duel time travel english
michael ritchie,tatum o'neal,vic morrow,joyce van patten,comedy drama family sport,the bad news bears,tatum o'neal vic morrow joyce van patten michael ritchie comedy drama family sport baseball california coach little league swimming pool english
steven e. de souza,ming-na wen,raul julia,kylie minogue,action adventure comedy thriller,street fighter,ming-na wen raul julia kylie minogue steven e. de souza action adventure comedy thriller guile hostage ransom soldier united nations english
roman polanski,emilia fox,frank finlay,ed stoppard,biography drama war,the pianist,emilia fox frank finlay ed stoppard roman polanski biography drama war ghetto holocaust jewish piano warsaw ghetto english
albert hughes,johnny depp,jason flemyng,ian richardson,horror mystery thriller,from hell,johnny depp jason flemyng ian richardson albert hughes horror mystery thriller freemason jack the ripper opium prostitute victorian era english
catherine hardwicke,keisha castle-hughes,hiam abbass,shaun toub,drama family fantasy,the nativity story,keisha castle-hughes hiam abbass shaun toub catherine hardwicke drama family fantasy angel bethlehem journey nazareth virgin english
mike nichols,natalie portman,julia roberts,colin stinton,drama romance,closer,natalie portman julia roberts colin stinton mike nichols drama romance cheating wife film camera hasselblad camera leica camera medium format camera english
clint eastwood,leonardo dicaprio,naomi watts,kaitlyn dever,biography crime drama,j. edgar,leonardo dicaprio naomi watts kaitlyn dever clint eastwood biography crime drama agent fbi federal bureau of investigation gay relationship secret english
alexandre aja,jason flemyng,cameron boyce,julian glover,horror mystery,mirrors,jason flemyng cameron boyce julian glover alexandre aja horror mystery estranged wife evil fire medication mirror english
michael rymer,aaliyah,lena olin,bruce spence,drama fantasy horror,queen of the damned,aaliyah lena olin bruce spence michael rymer drama fantasy horror fatal attraction interspecies romance queen supernatural power vampire english
stephen hopkins,adam baldwin,robert davi,kevin peter hall,action horror sci-fi,predator 2,adam baldwin robert davi kevin peter hall stephen hopkins action horror sci-fi alien drug lord gang hunter predator english
gregory hoblit,billy burke,jesse tyler ferguson,joseph cross,crime drama thriller,untraceable,billy burke jesse tyler ferguson joseph cross gregory hoblit crime drama thriller cat fbi agent murder serial killer website english
hugh wilson,brendan fraser,sissy spacek,douglas smith,comedy drama romance sci-fi,blast from the past,brendan fraser sissy spacek douglas smith hugh wilson comedy drama romance sci-fi 1960s bomb shelter cuban missile crisis food naive man english
mike hodges,brian blessed,william hootkins,sam j. jones,action adventure sci-fi,flash gordon,brian blessed william hootkins sam j. jones mike hodges action adventure sci-fi american football cult film emperor flash gordon mind reading english
kevin smith,stephen root,mike starr,george carlin,comedy drama romance,jersey girl,stephen root mike starr george carlin kevin smith comedy drama romance baby childbirth death karma publicist english
rob cohen,cicely tyson,chad lindberg,carmen ejogo,action crime mystery thriller,alex cross,cicely tyson chad lindberg carmen ejogo rob cohen action crime mystery thriller assassin detective partner police serial killer english
clint eastwood,kevin spacey,bob gunton,leon rippy,crime drama mystery thriller,midnight in the garden of good and evil,kevin spacey bob gunton leon rippy clint eastwood crime drama mystery thriller graveyard murder murder trial reporter trial english
susanna white,daniel mays,bill bailey,eros vlahos,comedy family fantasy,nanny mcphee returns,daniel mays bill bailey eros vlahos susanna white comedy family fantasy farm magic mother daughter relationship overalls title directed by female english
danny devito,frank whaley,j.t. walsh,paul guilfoyle,biography crime drama,hoffa,frank whaley j.t. walsh paul guilfoyle danny devito biography crime drama labor labor union leader mafia union english
chris carter,mitch pileggi,callum rennie,nicki aycox,drama mystery sci-fi thriller,the x files: i want to believe,mitch pileggi callum rennie nicki aycox chris carter drama mystery sci-fi thriller fbi priest psychic psychic vision staff physician english
tommy o'haver,anne hathaway,steve coogan,joanna lumley,comedy family fantasy romance,ella enchanted,anne hathaway steve coogan joanna lumley tommy o'haver comedy family fantasy romance curse fairy obedience prince strong female character english
peter landesman,will smith,eddie marsan,albert brooks,biography drama sport,concussion,will smith eddie marsan albert brooks peter landesman biography drama sport chronic traumatic encephalopathy concussion football football player pathologist english
gary chapman,jim broadbent,olivia williams,pip torrens,adventure animation comedy family war,valiant,jim broadbent olivia williams pip torrens gary chapman adventure animation comedy family war dove falcon nursing pigeon psychological torture english
curtis hanson,robert downey jr.,rip torn,richard thomas,comedy drama,wonder boys,robert downey jr. rip torn richard thomas curtis hanson comedy drama based on novel college girl midlife crisis pittsburgh pennsylvania professor english
craig mazin,drake bell,tracy morgan,marion ross,action comedy sci-fi thriller,superhero movie,drake bell tracy morgan marion ross craig mazin action comedy sci-fi thriller dragonfly hero high school soaking wet supervillian origin english
allen hughes,alona tal,james ransone,michael beach,crime drama thriller,broken city,alona tal james ransone michael beach allen hughes crime drama thriller election father son relationship fellatio gay slur title spoken by character english
wes craven,shannon elizabeth,portia de rossi,derek mears,comedy horror,cursed,shannon elizabeth portia de rossi derek mears wes craven comedy horror creature death party rescue werewolf english
david koepp,joseph gordon-levitt,dania ramirez,aasif mandvi,action crime thriller,premium rush,joseph gordon-levitt dania ramirez aasif mandvi david koepp action crime thriller chase courier delivery envelope police english
anne fletcher,jim gaffigan,richard t. jones,michael mosley,action comedy crime,hot pursuit,jim gaffigan richard t. jones michael mosley anne fletcher action comedy crime danger drug cartel female cop female police officer fugitive english
shekhar kapur,djimon hounsou,lucy gordon,alex jennings,adventure drama romance war,the four feathers,djimon hounsou lucy gordon alex jennings shekhar kapur adventure drama romance war male nudity naked dead man nudity sex whipping english
taylor hackford,jason statham,clifton collins jr.,wendell pierce,action crime romance thriller,parker,jason statham clifton collins jr. wendell pierce taylor hackford action crime romance thriller action hero disguise hospital real estate agent thief english
richard loncraine,kirsten dunst,jon favreau,austin nichols,comedy romance sport,wimbledon,kirsten dunst jon favreau austin nichols richard loncraine comedy romance sport career player tennis tennis player wimbledon english
roger kumble,brendan fraser,brooke shields,matt prokop,comedy family,furry vengeance,brendan fraser brooke shields matt prokop roger kumble comedy family animal bear land developer real estate real estate developer english
kimble rendall,alex russell,cariba heine,richard brancatisano,action horror sci-fi,bait,alex russell cariba heine richard brancatisano kimble rendall action horror sci-fi great white shark shark supermarket swimming tsunami english
peter yates,liam neeson,alun armstrong,lysette anthony,action adventure fantasy,krull,liam neeson alun armstrong lysette anthony peter yates action adventure fantasy cyclops fortress monster planet rescue english
robert redford,meryl streep,tom cruise,andrew garfield,drama thriller war,lions for lambs,meryl streep tom cruise andrew garfield robert redford drama thriller war afghanistan professor reporter student university english
john milius,rosanna arquette,dann florek,christopher rich,action drama thriller war,flight of the intruder,rosanna arquette dann florek christopher rich john milius action drama thriller war bombardier pilot u.s. navy vietnam vietnam war english
jake kasdan,tim meadows,nat faxon,matt price,comedy music,walk hard: the dewey cox story,tim meadows nat faxon matt price jake kasdan comedy music drugs elvis musician singer the beatles english
lasse hallström,kevin spacey,scott glenn,jason behr,drama,the shipping news,kevin spacey scott glenn jason behr lasse hallström drama employee employer relationship husband wife relationship newspaper ship wake english
les mayfield,gregory smith,ronny cox,harris yulin,action western,american outlaws,gregory smith ronny cox harris yulin les mayfield action western legend old west outlaw railroad stealing from the rich english
jean-marc vallée,michiel huisman,jim broadbent,thomas kretschmann,biography drama history romance,the young victoria,michiel huisman jim broadbent thomas kretschmann jean-marc vallée biography drama history romance 19th century courtship female protagonist princess queen of england english
dominic sena,tom skerritt,bashar rahal,shawn doyle,action crime mystery thriller,whiteout,tom skerritt bashar rahal shawn doyle dominic sena action crime mystery thriller antarctica geologist investigation u.s. marshal winter english
terrence malick,brad pitt,tye sheridan,fiona shaw,drama fantasy,the tree of life,brad pitt tye sheridan fiona shaw terrence malick drama fantasy 1950s children ice cube texas waco texas english
hark tsui,paul sorvino,lela rochon,ray nicholas,action comedy thriller,knock off,paul sorvino lela rochon ray nicholas hark tsui action comedy thriller cia hong kong market undercover van english
brian helgeland,heath ledger,mark addy,benno fürmann,action mystery thriller,the order,heath ledger mark addy benno fürmann brian helgeland action mystery thriller death exorcism heaven priest sin eater english
lexi alexander,julie benz,wayne knight,colin salmon,action crime drama thriller,punisher: war zone,julie benz wayne knight colin salmon lexi alexander action crime drama thriller gun fu plastic surgery psychopath undercover vigilante english
peter hewitt,kevin zegers,rip torn,thomas f. wilson,action adventure family sci-fi,zoom,kevin zegers rip torn thomas f. wilson peter hewitt action adventure family sci-fi bruise female hero super strength superhero teenage superhero english
robert zemeckis,joseph gordon-levitt,soleyman pierini,jade kindar-martin,adventure biography drama thriller,the walk,joseph gordon-levitt soleyman pierini jade kindar-martin robert zemeckis adventure biography drama thriller 1970s based on true story new york city skyscraper tightrope walker english
ronny yu,marley shelton,lee arenberg,angus macfadyen,action adventure fantasy,warriors of virtue,marley shelton lee arenberg angus macfadyen ronny yu action adventure fantasy anthropomorphic animal football kangaroo sword and sorcery water boy english
ridley scott,archie panjabi,albert finney,richard coyle,comedy drama romance,a good year,archie panjabi albert finney richard coyle ridley scott comedy drama romance based on novel inheritance provence uncle wine english
unknown_director,ruth wilson,indira varma,warren brown,crime drama mystery thriller,luther            ,ruth wilson indira varma warren brown unknown_director crime drama mystery thriller murder police psychopath english
richard donner,adam baldwin,thomas ian nicholas,john heard,drama,radio flyer,adam baldwin thomas ian nicholas john heard richard donner drama father son relationship physical abuse radio flyer stepfather stepfather stepson relationship english
taylor hackford,delroy lindo,jesse borrego,raymond cruz,crime drama,"blood in, blood out",delroy lindo jesse borrego raymond cruz taylor hackford crime drama 1970s 1980s barrio gang war mexican english
bille august,jim broadbent,tom wilkinson,julia ormond,action drama sci-fi thriller,smilla's sense of snow,jim broadbent tom wilkinson julia ormond bille august action drama sci-fi thriller boy greenland neighbor roof snow english
brian de palma,peter coyote,gregg henry,rie rasmussen,crime drama mystery thriller,femme fatale,peter coyote gregg henry rie rasmussen brian de palma crime drama mystery thriller ambassador cannes identity suicide thief english
moustapha akkad,oliver reed,rod steiger,john gielgud,biography drama history war,lion of the desert,oliver reed rod steiger john gielgud moustapha akkad biography drama history war arab general libya muslim mussolini english
jean-paul rappeneau,olivier martinez,françois cluzet,isabelle carré,adventure drama romance war,the horseman on the roof,olivier martinez françois cluzet isabelle carré jean-paul rappeneau adventure drama romance war austrian breasts cholera police provence french
ang lee,jeremy w. auman,jeffrey dover,tobey maguire,drama romance war western,ride with the devil,jeremy w. auman jeffrey dover tobey maguire ang lee drama romance war western bushwhacker friend honor kansas raid english
alejandro g. iñárritu,maricel álvarez,hanaa bouchaib,eduard fernández,drama,biutiful,maricel álvarez hanaa bouchaib eduard fernández alejandro g. iñárritu drama children chinese illegal immigrant immigrant male ponytail spanish
joachim rønning,salma hayek,sam shepard,dwight yoakam,action comedy crime western,bandidas,salma hayek sam shepard dwight yoakam joachim rønning action comedy crime western bank cleavage farmer female gunfighter mexico english
tony kaye,bill cobbs,aisha tyler,beverly d'angelo,crime drama,black water transit,bill cobbs aisha tyler beverly d'angelo tony kaye crime drama based on novel english
wes ball,ki hong lee,aml ameen,jacob latimore,action mystery sci-fi thriller,the maze runner,ki hong lee aml ameen jacob latimore wes ball action mystery sci-fi thriller based on novel concrete wall maze open ended teenage boy english
ken scott,tom wilkinson,june diane raphael,melissa mcmeekin,comedy,unfinished business,tom wilkinson june diane raphael melissa mcmeekin ken scott comedy business trip company glory hole male frontal nudity male nudity english
martin scorsese,richard e. grant,geraldine chaplin,stuart wilson,drama romance,the age of innocence,richard e. grant geraldine chaplin stuart wilson martin scorsese drama romance 19th century countess lawyer love new york english
darren aronofsky,hugh jackman,ellen burstyn,mark margolis,drama sci-fi,the fountain,hugh jackman ellen burstyn mark margolis darren aronofsky drama sci-fi eternity love mayan tree tree of life english
hugh johnson,david paymer,kevin j. o'connor,hudson leick,action adventure comedy drama thriller,chill factor,david paymer kevin j. o'connor hudson leick hugh johnson action adventure comedy drama thriller colonel ice ice cream truck military u.s. army english
simon west,nicolas cage,mark valley,sami gayle,action crime drama thriller,stolen,nicolas cage mark valley sami gayle simon west action crime drama thriller bank money presumed dead rescue thief english
hayao miyazaki,rumi hiiragi,yûki amami,yuria nara,adventure animation family fantasy,ponyo,rumi hiiragi yûki amami yuria nara hayao miyazaki adventure animation family fantasy children adventure magical realism sea goddess small town tsunami japanese
george tillman jr.,tiago riani,melissa benoist,hayley lovitt,drama romance,the longest ride,tiago riani melissa benoist hayley lovitt george tillman jr. drama romance 1940s art collector bull riding north carolina student english
hugh hudson,liam aiken,eva marie saint,vincent perez,adventure drama romance,i dreamed of africa,liam aiken eva marie saint vincent perez hugh hudson adventure drama romance dream italian kenya ranch snake english
gabriele muccino,gerard butler,dennis quaid,judy greer,comedy romance sport,playing for keeps,gerard butler dennis quaid judy greer gabriele muccino comedy romance sport coach soccer soccer coach soccer mom soccer team english
justin chadwick,terry pheto,fana mokoena,tony kgoroge,biography drama history,mandela: long walk to freedom,terry pheto fana mokoena tony kgoroge justin chadwick biography drama history africa apartheid nelson mandela president resistance english
warren beatty,paul sorvino,warren beatty,m. emmet walsh,biography drama history romance,reds,paul sorvino warren beatty m. emmet walsh warren beatty biography drama history romance cold war cold war era interview russia written and directed by cast member english
rob reiner,tom cruise,demi moore,kevin pollak,drama thriller,a few good men,tom cruise demi moore kevin pollak rob reiner drama thriller cuba guantanamo lance corporal lawyer murder english
andrzej bartkowiak,michael jai white,bill duke,bruce mcgill,action comedy crime drama thriller,exit wounds,michael jai white bill duke bruce mcgill andrzej bartkowiak action comedy crime drama thriller corrupt cop drug dealer drugs heroin vice president english
raja gosnell,nia long,cedric the entertainer,tichina arnold,action comedy crime,big momma's house,nia long cedric the entertainer tichina arnold raja gosnell action comedy crime disguise fbi female impersonation gender disguise obesity english
jeremy degruson,kyle hebert,brianne brozey,joe ochman,adventure animation comedy family fantasy,thunder and the house of magic,kyle hebert brianne brozey joe ochman jeremy degruson adventure animation comedy family fantasy unknown_keywords english
chris gorak,max minghella,veronika vernadskaya,dato bakhtadze,action adventure horror sci-fi thriller,the darkest hour,max minghella veronika vernadskaya dato bakhtadze chris gorak action adventure horror sci-fi thriller alien aurora borealis critically bashed killing an animal nightclub english
scott speer,ryan guzman,stephen boss,misha gabriel hamilton,drama music romance,step up revolution,ryan guzman stephen boss misha gabriel hamilton scott speer drama music romance 3 dimensional dance dancer dancing flash mob english
joe charbanic,keanu reeves,joseph sikora,chris ellis,crime horror mystery thriller,the watcher,keanu reeves joseph sikora chris ellis joe charbanic crime horror mystery thriller fbi murder scene of the crime serial killer therapy english
jonathan hensleigh,laura harring,marco st. john,eddie jemison,action crime drama thriller,the punisher,laura harring marco st. john eddie jemison jonathan hensleigh action crime drama thriller death family reunion fbi fbi agent vigilante english
danny cannon,sean pertwee,kuno becker,stephen dillane,drama romance sport,goal! the dream begins,sean pertwee kuno becker stephen dillane danny cannon drama romance sport barrio border newcastle united party soccer english
boaz yakin,jason statham,reggie lee,robert john burke,action crime thriller,safe,jason statham reggie lee robert john burke boaz yakin action crime thriller bodyguard gang war russian russian mafia triad english
mike newell,angelina jolie pitt,kurt fuller,jake weber,comedy drama romance,pushing tin,angelina jolie pitt kurt fuller jake weber mike newell comedy drama romance air traffic control air traffic controller female bodybuilder job marriage english
richard marquand,harrison ford,ian mcdiarmid,kenny baker,action adventure fantasy sci-fi,star wars: episode vi - return of the jedi,harrison ford ian mcdiarmid kenny baker richard marquand action adventure fantasy sci-fi death star emperor empire princess rebel english
neil marshall,ryan kruger,jason cope,jeremy crutchley,action sci-fi thriller,doomsday,ryan kruger jason cope jeremy crutchley neil marshall action sci-fi thriller cure quarantine scotland virus wall english
stephen daldry,kate winslet,david kross,susanne lothar,drama romance,the reader,kate winslet david kross susanne lothar stephen daldry drama romance love reading teaching oneself to read trial war crime english
david wain,justin theroux,lauren ambrose,joe lo truglio,comedy,wanderlust,justin theroux lauren ambrose joe lo truglio david wain comedy childbirth female frontal nudity nude protest nudist skinny dipping english
jon favreau,peter dinklage,zooey deschanel,will ferrell,comedy family fantasy romance,elf,peter dinklage zooey deschanel will ferrell jon favreau comedy family fantasy romance baby christmas spirit elf new york city north pole english
jon turteltaub,robert duvall,kyra sedgwick,david gallagher,drama fantasy romance sci-fi,phenomenon,robert duvall kyra sedgwick david gallagher jon turteltaub drama fantasy romance sci-fi brain tumor genius psionic power telekinesis terminal illness english
brian levant,james coburn,nichelle nichols,m. emmet walsh,adventure comedy family sport,snow dogs,james coburn nichelle nichols m. emmet walsh brian levant adventure comedy family sport dentist dog inheritance race sled dog english
richard donner,bill murray,alfre woodard,robert mitchum,comedy drama fantasy,scrooged,bill murray alfre woodard robert mitchum richard donner comedy drama fantasy christmas compassion executive ghost redemption english
jared hess,ana de la reguera,moises arias,héctor jiménez,comedy family sport,nacho libre,ana de la reguera moises arias héctor jiménez jared hess comedy family sport lucha libre monastery nun orphan wrestling english
paul feig,matt lucas,wendi mclendon-covey,steve bannos,comedy romance,bridesmaids,matt lucas wendi mclendon-covey steve bannos paul feig comedy romance best friend failure food job partial female nudity english
evan goldberg,channing tatum,james franco,emma watson,comedy fantasy,this is the end,channing tatum james franco emma watson evan goldberg comedy fantasy apocalypse celebrity ensemble cast party rapture english
rupert wainwright,nia long,enrico colantoni,portia de rossi,horror,stigmata,nia long enrico colantoni portia de rossi rupert wainwright horror catholic priest stigmata vatican wound english
george tillman jr.,robert de niro,charlize theron,michael rapaport,biography drama,men of honor,robert de niro charlize theron michael rapaport george tillman jr. biography drama african american amputee navy racial discrimination racism english
john luessenhop,paul walker,hayden christensen,jay hernandez,action crime thriller,takers,paul walker hayden christensen jay hernandez john luessenhop action crime thriller armored car bank falling out among thieves heist planning english
justin zackham,robin williams,robert de niro,topher grace,comedy,the big wedding,robin williams robert de niro topher grace justin zackham comedy adoption divorce family relationships farce wedding english
john whitesell,brandon t. jackson,tony curran,portia doubleday,action comedy crime,"big mommas: like father, like son",brandon t. jackson tony curran portia doubleday john whitesell action comedy crime fbi agent murder performing arts school scene during end credits undercover english
duncan jones,jake gyllenhaal,cas anvar,russell peters,mystery sci-fi thriller,source code,jake gyllenhaal cas anvar russell peters duncan jones mystery sci-fi thriller bomber time time loop train trapped in a time loop english
frank marshall,illeana douglas,danny nucci,michael delorenzo,adventure biography drama thriller,alive,illeana douglas danny nucci michael delorenzo frank marshall adventure biography drama thriller andes mountains crash death starvation stranded english
joel schumacher,logan lerman,virginia madsen,ed lauter,mystery thriller,the number 23,logan lerman virginia madsen ed lauter joel schumacher mystery thriller destiny detective imagination murder sex scene english
jean-pierre jeunet,callum rennie,julian richings,judy davis,action adventure drama family,the young and prodigious t.s. spivet,callum rennie julian richings judy davis jean-pierre jeunet action adventure drama family 3 dimensional cartographer punctuation in title smithsonian train english
steven spielberg,christopher lee,john belushi,treat williams,action comedy war,1941,christopher lee john belushi treat williams steven spielberg action comedy war california captain cult film pearl harbor submarine english
john gatins,ken howard,freddy rodríguez,holmes osborne,drama family sport,dreamer: inspired by a true story,ken howard freddy rodríguez holmes osborne john gatins drama family sport colon in title horse kentucky overalls six word title english
david cronenberg,viggo mortensen,kyle schmid,william hurt,crime drama thriller,a history of violence,viggo mortensen kyle schmid william hurt david cronenberg crime drama thriller bar crotch shot female full frontal nudity female pubic hair robbery english
louis leterrier,jason statham,jason flemyng,matthew modine,action crime thriller,transporter 2,jason statham jason flemyng matthew modine louis leterrier action crime thriller driver french kidnapping police sequel english
sam raimi,leonardo dicaprio,pat hingle,roberts blossom,action thriller western,the quick and the dead,leonardo dicaprio pat hingle roberts blossom sam raimi action thriller western authority figure as villian gun duel saved from hanging showdown street shootout english
peter howitt,frances fisher,mike doyle,nora dunn,comedy romance,laws of attraction,frances fisher mike doyle nora dunn peter howitt comedy romance date divorce divorce lawyer drinking lawyer english
martin scorsese,nicolas cage,marc anthony,sonja sohn,drama thriller,bringing out the dead,nicolas cage marc anthony sonja sohn martin scorsese drama thriller ambulance ghost hell paramedic rescue english
miguel sapochnik,alice braga,rza,yvette nicole brown,action crime sci-fi thriller,repo men,alice braga rza yvette nicole brown miguel sapochnik action crime sci-fi thriller artificial organ best friend enforcer future near future english
hyung-rae shim,robert forster,aimee garcia,chris mulkey,action drama fantasy horror thriller,dragon wars: d-war,robert forster aimee garcia chris mulkey hyung-rae shim action drama fantasy horror thriller antique shop asian dragon dragon korean reporter english
norman jewison,haley joel osment,nancy travis,andrea martin,comedy family fantasy,bogus,haley joel osment nancy travis andrea martin norman jewison comedy family fantasy box office flop circus imaginary friend magician one word title english
