director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language,comb
hideaki anno,mark chinnery,shin'ya tsukamoto,atsuko maeda,action adventure drama horror sci-fi,godzilla resurgence,blood godzilla monster sequel,japanese,mark chinnery shin'ya tsukamoto atsuko maeda hideaki anno action adventure drama horror sci-fi blood godzilla monster sequel japanese
gore verbinski,johnny depp,orlando bloom,jack davenport,action adventure fantasy,pirates of the caribbean: the curse of the black pearl,caribbean curse governor pirate undead,english,johnny depp orlando bloom jack davenport gore verbinski action adventure fantasy caribbean curse governor pirate undead english
matt birch,rupert grint,toby jones,alfred enoch,fantasy,harry potter and the deathly hallows: part i,unknown_keywords,english,rupert grint toby jones alfred enoch matt birch fantasy unknown_keywords english
francis lawrence,jennifer lawrence,philip seymour hoffman,josh hutcherson,adventure sci-fi thriller,the hunger games: mockingjay - part 1,based on young adult novel manipulation rebellion symbol uprising,english,jennifer lawrence philip seymour hoffman josh hutcherson francis lawrence adventure sci-fi thriller based on young adult novel manipulation rebellion symbol uprising english
ron howard,tom hanks,seth gabel,jürgen prochnow,mystery thriller,the da vinci code,based on supposedly true story holy grail mary magdalene opus dei secret,english,tom hanks seth gabel jürgen prochnow ron howard mystery thriller based on supposedly true story holy grail mary magdalene opus dei secret english
carlos saldanha,miguel ferrer,rachel crow,jeffrey garcia,adventure animation comedy family musical,rio 2,amazon bird father in law jungle no opening credits,english,miguel ferrer rachel crow jeffrey garcia carlos saldanha adventure animation comedy family musical amazon bird father in law jungle no opening credits english
bryan singer,hugh jackman,bruce davison,aaron stanford,action adventure fantasy sci-fi thriller,x-men 2,mutant prison professor school x men,english,hugh jackman bruce davison aaron stanford bryan singer action adventure fantasy sci-fi thriller mutant prison professor school x men english
justin lin,paul walker,vin diesel,dwayne johnson,action crime thriller,fast five,drug lord drugs federal agent heist police,english,paul walker vin diesel dwayne johnson justin lin action crime thriller drug lord drugs federal agent heist police english
guy ritchie,robert downey jr.,eddie marsan,paul anderson,action adventure crime mystery thriller,sherlock holmes: a game of shadows,factory gypsy investigation sherlock holmes train,english,robert downey jr. eddie marsan paul anderson guy ritchie action adventure crime mystery thriller factory gypsy investigation sherlock holmes train english
john mctiernan,tony curran,vladimir kulich,clive russell,action adventure history,the 13th warrior,arab battle combat viking warrior,english,tony curran vladimir kulich clive russell john mctiernan action adventure history arab battle combat viking warrior english
tony gilroy,jeremy renner,scott glenn,stacy keach,action adventure thriller,the bourne legacy,assassin cia drone pill wolf,english,jeremy renner scott glenn stacy keach tony gilroy action adventure thriller assassin cia drone pill wolf english
joel schumacher,michael gough,vivica a. fox,john glover,action,batman & robin,butler critically bashed cure freeze gotham,english,michael gough vivica a. fox john glover joel schumacher action butler critically bashed cure freeze gotham english
ron howard,clint howard,t.j. thyne,molly shannon,comedy family fantasy,how the grinch stole christmas,box office hit christmas materialism public humiliation snowflake,english,clint howard t.j. thyne molly shannon ron howard comedy family fantasy box office hit christmas materialism public humiliation snowflake english
roland emmerich,jake gyllenhaal,dennis quaid,sela ward,action adventure sci-fi thriller,the day after tomorrow,climate end of the world global warming natural disaster weather,english,jake gyllenhaal dennis quaid sela ward roland emmerich action adventure sci-fi thriller climate end of the world global warming natural disaster weather english
john woo,tom cruise,dougray scott,richard roxburgh,action adventure thriller,mission: impossible ii,cure mission terrorist thief virus,english,tom cruise dougray scott richard roxburgh john woo action adventure thriller cure mission terrorist thief virus english
wolfgang petersen,karen allen,mary elizabeth mastrantonio,bob gunton,action adventure drama thriller,the perfect storm,death fish fishing sea storm,english,karen allen mary elizabeth mastrantonio bob gunton wolfgang petersen action adventure drama thriller death fish fishing sea storm english
tim story,chris evans,ioan gruffudd,andre braugher,action adventure sci-fi thriller,fantastic 4: rise of the silver surfer,fantastic four space strong female character strong female lead superheroine,english,chris evans ioan gruffudd andre braugher tim story action adventure sci-fi thriller fantastic four space strong female character strong female lead superheroine english
ang lee,suraj sharma,rafe spall,tabu,adventure drama fantasy,life of pi,animal faith india journey tiger,english,suraj sharma rafe spall tabu ang lee adventure drama fantasy animal faith india journey tiger english
mark steven johnson,nicolas cage,matt long,peter fonda,action fantasy thriller,ghost rider,blackheart devil father ghost mephistopheles,english,nicolas cage matt long peter fonda mark steven johnson action fantasy thriller blackheart devil father ghost mephistopheles english
paul greengrass,matt damon,riz ahmed,ato essandoh,action thriller,jason bourne,black ops chase cia cia agent repeated scene,english,matt damon riz ahmed ato essandoh paul greengrass action thriller black ops chase cia cia agent repeated scene english
mcg,demi moore,bernie mac,justin theroux,action adventure comedy crime,charlie's angels: full throttle,fbi murder ring witness protection witness protection program,english,demi moore bernie mac justin theroux mcg action adventure comedy crime fbi murder ring witness protection witness protection program english
ridley scott,michael fassbender,charlize theron,sean harris,adventure mystery sci-fi,prometheus,cave painting medical scanner planet pregnant with an alien fetus suspended animation,english,michael fassbender charlize theron sean harris ridley scott adventure mystery sci-fi cave painting medical scanner planet pregnant with an alien fetus suspended animation english
rob minkoff,nathan lane,brad garrett,melanie griffith,adventure animation comedy family fantasy,stuart little 2,anthropomorphic mouse falcon marshmallow second part soccer,english,nathan lane brad garrett melanie griffith rob minkoff adventure animation comedy family fantasy anthropomorphic mouse falcon marshmallow second part soccer english
neill blomkamp,matt damon,sharlto copley,alice braga,action drama sci-fi thriller,elysium,christ figure class differences messiah saviour social commentary,english,matt damon sharlto copley alice braga neill blomkamp action drama sci-fi thriller christ figure class differences messiah saviour social commentary english
david twohy,vin diesel,alexa davalos,christina cox,action adventure sci-fi thriller,the chronicles of riddick,bounty hunter escape necromonger planet warrior,english,vin diesel alexa davalos christina cox david twohy action adventure sci-fi thriller bounty hunter escape necromonger planet warrior english
lana wachowski,scott porter,kick gurry,nicholas elia,action family sport,speed racer,based on anime based on cartoon gadget car racer speed,english,scott porter kick gurry nicholas elia lana wachowski action family sport based on anime based on cartoon gadget car racer speed english
james l. brooks,shelley conn,domenick lombardozzi,teyonah parris,comedy drama romance,how do you know,embarrassment falling in love love love triangle revelation,english,shelley conn domenick lombardozzi teyonah parris james l. brooks comedy drama romance embarrassment falling in love love love triangle revelation english
james mangold,tom cruise,marc blucas,jordi mollà,action comedy romance,knight and day,chase fbi garage spy surveillance,english,tom cruise marc blucas jordi mollà james mangold action comedy romance chase fbi garage spy surveillance english
joseph kosinski,morgan freeman,tom cruise,zoë bell,action adventure mystery sci-fi,oblivion,cabin in the woods drone flying through a thunderstorm post apocalypse sex in a pool,english,morgan freeman tom cruise zoë bell joseph kosinski action adventure mystery sci-fi cabin in the woods drone flying through a thunderstorm post apocalypse sex in a pool english
george lucas,natalie portman,christopher lee,hayden christensen,action adventure fantasy sci-fi,star wars: episode iii - revenge of the sith,elongated cry of no friends become enemies kicked in the butt robotic midwife vision,english,natalie portman christopher lee hayden christensen george lucas action adventure fantasy sci-fi elongated cry of no friends become enemies kicked in the butt robotic midwife vision english
george lucas,natalie portman,christopher lee,hayden christensen,action adventure fantasy sci-fi,star wars: episode ii - attack of the clones,martial arts murdered before giving protagonist information part computer animation prequel prequel to cult film,english,natalie portman christopher lee hayden christensen george lucas action adventure fantasy sci-fi martial arts murdered before giving protagonist information part computer animation prequel prequel to cult film english
pete docter,steve buscemi,john ratzenberger,james coburn,adventure animation comedy family fantasy,"monsters, inc.",friend little girl monster rival scream,english,steve buscemi john ratzenberger james coburn pete docter adventure animation comedy family fantasy friend little girl monster rival scream english
james mangold,hugh jackman,tao okamoto,rila fukushima,action adventure sci-fi thriller,the wolverine,healing power marvel comics mecha regeneration self healing,english,hugh jackman tao okamoto rila fukushima james mangold action adventure sci-fi thriller healing power marvel comics mecha regeneration self healing english
george lucas,natalie portman,liam neeson,ian mcdiarmid,action adventure fantasy sci-fi,star wars: episode i - the phantom menace,alien character says i have a bad feeling about this hand to hand combat seven word title wilhelm scream,english,natalie portman liam neeson ian mcdiarmid george lucas action adventure fantasy sci-fi alien character says i have a bad feeling about this hand to hand combat seven word title wilhelm scream english
kirk de micco,ryan reynolds,emma stone,nicolas cage,adventure animation comedy family fantasy,the croods,cave caveman journey strict father survival,english,ryan reynolds emma stone nicolas cage kirk de micco adventure animation comedy family fantasy cave caveman journey strict father survival english
frédéric forestier,alain delon,santiago segura,vanessa hessler,adventure comedy family fantasy,asterix at the olympic games,1st century b.c. lightsaber local blockbuster magical potion potion,french,alain delon santiago segura vanessa hessler frédéric forestier adventure comedy family fantasy 1st century b.c. lightsaber local blockbuster magical potion potion french
john woo,nicolas cage,roger willie,noah emmerich,action drama war,windtalkers,code duty steel helmet u.s. marine u.s. soldier,english,nicolas cage roger willie noah emmerich john woo action drama war code duty steel helmet u.s. marine u.s. soldier english
cedric nicolas-troyan,chris hemsworth,sam claflin,charlize theron,action adventure drama fantasy,the huntsman: winter's war,based on fairy tale dark fantasy fairy tale second part sequel,english,chris hemsworth sam claflin charlize theron cedric nicolas-troyan action adventure drama fantasy based on fairy tale dark fantasy fairy tale second part sequel english
alfonso cuarón,phaldut sharma,basher savage,amy warren,adventure drama sci-fi thriller,gravity,box office hit long take sole survivor space space station,english,phaldut sharma basher savage amy warren alfonso cuarón adventure drama sci-fi thriller box office hit long take sole survivor space space station english
roger donaldson,jamie renée smith,grant heslov,tzi ma,action adventure thriller,dante's peak,ash escape lava mayor volcano,english,jamie renée smith grant heslov tzi ma roger donaldson action adventure thriller ash escape lava mayor volcano english
dave green,stephen amell,noel fisher,brad garrett,action adventure comedy sci-fi,teenage mutant ninja turtles: out of the shadows,based on comic book brother brother relationship rat sequel turtle,english,stephen amell noel fisher brad garrett dave green action adventure comedy sci-fi based on comic book brother brother relationship rat sequel turtle english
shawn levy,robin williams,rami malek,steve coogan,action adventure comedy family fantasy,night at the museum,chaos museum museum of natural history night watchman watchman,english,robin williams rami malek steve coogan shawn levy action adventure comedy family fantasy chaos museum museum of natural history night watchman watchman english
brad peyton,dwayne johnson,ioan gruffudd,archie panjabi,action adventure drama thriller,san andreas,disaster movie earthquake journey natural disaster san andreas fault,english,dwayne johnson ioan gruffudd archie panjabi brad peyton action adventure drama thriller disaster movie earthquake journey natural disaster san andreas fault english
roger spottiswoode,vincent schiavelli,colin salmon,joe don baker,action adventure thriller,tomorrow never dies,ex boyfriend ex girlfriend relationship media tycoon megalomaniac official james bond series world war three,english,vincent schiavelli colin salmon joe don baker roger spottiswoode action adventure thriller ex boyfriend ex girlfriend relationship media tycoon megalomaniac official james bond series world war three english
roland emmerich,heath ledger,adam baldwin,tom wilkinson,action drama history war,the patriot,american revolution british french hero standoff,english,heath ledger adam baldwin tom wilkinson roland emmerich action drama history war american revolution british french hero standoff english
steven soderbergh,brad pitt,julia roberts,mini anden,crime thriller,ocean's twelve,father daughter relationship heist pretending to be pregnant sequel thief,english,brad pitt julia roberts mini anden steven soderbergh crime thriller father daughter relationship heist pretending to be pregnant sequel thief english
doug liman,brad pitt,angelina jolie pitt,stephanie march,action comedy crime romance thriller,mr. & mrs. smith,assassin marriage secret agent suburb target,english,brad pitt angelina jolie pitt stephanie march doug liman action comedy crime romance thriller assassin marriage secret agent suburb target english
robert schwentke,kate winslet,theo james,mekhi phifer,adventure sci-fi thriller,insurgent,action heroine falling from height mind control trainhopping truth serum,english,kate winslet theo james mekhi phifer robert schwentke adventure sci-fi thriller action heroine falling from height mind control trainhopping truth serum english
martin scorsese,leonardo dicaprio,adam scott,frances conroy,biography drama,the aviator,1920s aviation fight spruce goose test flight,english,leonardo dicaprio adam scott frances conroy martin scorsese biography drama 1920s aviation fight spruce goose test flight english
rob letterman,james corden,catherine tate,olly alexander,adventure comedy family fantasy,gulliver's travels,bermuda triangle box office hit shipwrecked travel travel writer,english,james corden catherine tate olly alexander rob letterman adventure comedy family fantasy bermuda triangle box office hit shipwrecked travel travel writer english
michel gondry,christoph waltz,tom wilkinson,chad l. coleman,action comedy crime sci-fi thriller,the green hornet,heir kung fu party playboy superhero,english,christoph waltz tom wilkinson chad l. coleman michel gondry action comedy crime sci-fi thriller heir kung fu party playboy superhero english
unknown_director,george peppard,dirk benedict,dwight schultz,action adventure crime,the a-team            ,1980s cult tv famous opening theme good versus evil hero for hire,english,george peppard dirk benedict dwight schultz unknown_director action adventure crime 1980s cult tv famous opening theme good versus evil hero for hire english
noam murro,eva green,sullivan stapleton,peter mensah,action drama fantasy war,300: rise of an empire,army commander female rear nudity greek navy,english,eva green sullivan stapleton peter mensah noam murro action drama fantasy war army commander female rear nudity greek navy english
raja gosnell,mahadeo shivraj,tim gunn,madison mckinley,adventure animation comedy family fantasy,the smurfs,blue new york new york city no opening credits smurf,english,mahadeo shivraj tim gunn madison mckinley raja gosnell adventure animation comedy family fantasy blue new york new york city no opening credits smurf english
will finn,steve buscemi,roseanne barr,g.w. bailey,animation comedy family music western,home on the range,cattle cow dairy farm farm rustler,english,steve buscemi roseanne barr g.w. bailey will finn animation comedy family music western cattle cow dairy farm farm rustler english
robert schwentke,naomi watts,theo james,zoë kravitz,action adventure mystery sci-fi thriller,allegiant,based on young adult novel dystopia genetic experimentation strong female character strong female lead,english,naomi watts theo james zoë kravitz robert schwentke action adventure mystery sci-fi thriller based on young adult novel dystopia genetic experimentation strong female character strong female lead english
shawn levy,hugh jackman,torey michael adkins,olga fonda,action drama sci-fi sport,real steel,arena boxing boxing movie robot robot battle,english,hugh jackman torey michael adkins olga fonda shawn levy action drama sci-fi sport arena boxing boxing movie robot robot battle english
raja gosnell,jacob tremblay,nancy o'dell,vanessa matsui,adventure animation comedy family fantasy,the smurfs 2,based on cartoon box office hit no opening credits sequel smurf,english,jacob tremblay nancy o'dell vanessa matsui raja gosnell adventure animation comedy family fantasy based on cartoon box office hit no opening credits sequel smurf english
jan de bont,jason patric,temuera morrison,lois chiles,action crime romance thriller,speed 2: cruise control,collision course computer cruise diamonds ship run aground,english,jason patric temuera morrison lois chiles jan de bont action crime romance thriller collision course computer cruise diamonds ship run aground english
gavin hood,harrison ford,moises arias,aramis knight,action sci-fi,ender's game,alien future manipulation simulation training,english,harrison ford moises arias aramis knight gavin hood action sci-fi alien future manipulation simulation training english
len wiseman,bruce willis,jonathan sadowski,cyril raffaelli,action adventure thriller,live free or die hard,fbi hacker independence day police terrorist,english,bruce willis jonathan sadowski cyril raffaelli len wiseman action adventure thriller fbi hacker independence day police terrorist english
peter jackson,christopher lee,orlando bloom,billy boyd,action adventure drama fantasy,the lord of the rings: the fellowship of the ring,elf hobbit middle earth quest ring,english,christopher lee orlando bloom billy boyd peter jackson action adventure drama fantasy elf hobbit middle earth quest ring english
michael mann,will smith,jada pinkett smith,joe morton,biography drama sport,ali,african american protagonist african americans boxing gym gym rumble in the jungle,english,will smith jada pinkett smith joe morton michael mann biography drama sport african american protagonist african americans boxing gym gym rumble in the jungle english
bo welch,sean hayes,kelly preston,spencer breslin,adventure comedy family fantasy,the cat in the hat,based on cult comic book cat home alone imagination talking cat,english,sean hayes kelly preston spencer breslin bo welch adventure comedy family fantasy based on cult comic book cat home alone imagination talking cat english
alex proyas,will smith,bruce greenwood,chi mcbride,action mystery sci-fi thriller,"i, robot",humanoid robot man versus machine prosthetic limb robot as pathos robot vs. robot,english,will smith bruce greenwood chi mcbride alex proyas action mystery sci-fi thriller humanoid robot man versus machine prosthetic limb robot as pathos robot vs. robot english
ridley scott,liam neeson,orlando bloom,philip glenister,action adventure drama history war,kingdom of heaven,12th century crusader jerusalem knight medieval times,english,liam neeson orlando bloom philip glenister ridley scott action adventure drama history war 12th century crusader jerusalem knight medieval times english
rob minkoff,chazz palminteri,nathan lane,jeffrey jones,adventure comedy family fantasy,stuart little,box office hit cat first part mouse orphanage,english,chazz palminteri nathan lane jeffrey jones rob minkoff adventure comedy family fantasy box office hit cat first part mouse orphanage english
ron clements,oprah winfrey,jenifer lewis,anika noni rose,animation family fantasy musical romance,the princess and the frog,amphibian dream frog frog prince waitress,english,oprah winfrey jenifer lewis anika noni rose ron clements animation family fantasy musical romance amphibian dream frog frog prince waitress english
ridley scott,matt damon,donald glover,benedict wong,adventure drama sci-fi,the martian,astronaut international cooperation left for dead nasa space habitat,english,matt damon donald glover benedict wong ridley scott adventure drama sci-fi astronaut international cooperation left for dead nasa space habitat english
christopher barnard,mathew buck,unknown_actor,unknown_actor,comedy,"10,000 b.c.            ",unknown_keywords,english,mathew buck unknown_actor unknown_actor christopher barnard comedy unknown_keywords english
peter chelsom,del zamora,warren beatty,garry shandling,comedy romance,town & country,anniversary architect cellist friend hardware store,english,del zamora warren beatty garry shandling peter chelsom comedy romance anniversary architect cellist friend hardware store english
dominic sena,nicolas cage,angelina jolie pitt,robert duvall,action crime thriller,gone in sixty seconds,auto theft brother car theft thief,english,nicolas cage angelina jolie pitt robert duvall dominic sena action crime thriller auto theft brother car theft thief english
ridley scott,djimon hounsou,connie nielsen,oliver reed,action drama romance,gladiator,battlefield blood combat gladiator roman empire,english,djimon hounsou connie nielsen oliver reed ridley scott action drama romance battlefield blood combat gladiator roman empire english
steven spielberg,tom cruise,frank grillo,jessica capshaw,action mystery sci-fi thriller,minority report,future murder neo noir washington d.c. year 2054,english,tom cruise frank grillo jessica capshaw steven spielberg action mystery sci-fi thriller future murder neo noir washington d.c. year 2054 english
chris columbus,daniel radcliffe,rupert grint,emma watson,adventure family fantasy mystery,harry potter and the chamber of secrets,bildungsroman flying broom invisibility cloak monster wizardry,english,daniel radcliffe rupert grint emma watson chris columbus adventure family fantasy mystery bildungsroman flying broom invisibility cloak monster wizardry english
james cameron,joe morton,jenette goldstein,s. epatha merkerson,action sci-fi,terminator 2: judgment day,future liquid metal multiple cameos sexy woman time travel,english,joe morton jenette goldstein s. epatha merkerson james cameron action sci-fi future liquid metal multiple cameos sexy woman time travel english
michael mann,johnny depp,christian bale,stephen graham,biography crime drama history romance,public enemies,1930s bank celebrity criminal fbi public enemy number one,english,johnny depp christian bale stephen graham michael mann biography crime drama history romance 1930s bank celebrity criminal fbi public enemy number one english
ridley scott,denzel washington,ruby dee,rza,biography crime drama,american gangster,death heroin popcorn smuggling vietnam,english,denzel washington ruby dee rza ridley scott biography crime drama death heroin popcorn smuggling vietnam english
james cameron,jamie lee curtis,tia carrere,tom arnold,action comedy thriller,true lies,espionage secret agent secret mission spy spy film,english,jamie lee curtis tia carrere tom arnold james cameron action comedy thriller espionage secret agent secret mission spy spy film english
tony scott,denzel washington,ramon rodriguez,michael rispoli,action crime thriller,the taking of pelham 1 2 3,hijack hostage ransom subway train,english,denzel washington ramon rodriguez michael rispoli tony scott action crime thriller hijack hostage ransom subway train english
paul weitz,robert de niro,blythe danner,teri polo,comedy romance,little fockers,birthday critically bashed male nurse nurse suspicion,english,robert de niro blythe danner teri polo paul weitz comedy romance birthday critically bashed male nurse nurse suspicion english
adam mckay,dwayne johnson,will ferrell,derek jeter,action comedy crime,the other guys,capitalist detective investigation new york city police,english,dwayne johnson will ferrell derek jeter adam mckay action comedy crime capitalist detective investigation new york city police english
chuck russell,vanessa williams,james coburn,roma maffia,action drama mystery thriller,eraser,assassination attempt corporate crime rogue agent witness witness protection program,english,vanessa williams james coburn roma maffia chuck russell action drama mystery thriller assassination attempt corporate crime rogue agent witness witness protection program english
quentin tarantino,leonardo dicaprio,christoph waltz,ato essandoh,drama western,django unchained,dynamite historically inaccurate ku klux klan n word slavery,english,leonardo dicaprio christoph waltz ato essandoh quentin tarantino drama western dynamite historically inaccurate ku klux klan n word slavery english
gary trousdale,demi moore,jason alexander,bill fagerbakke,animation drama family musical romance,the hunchback of notre dame,15th century cathedral gypsy paris victor hugo,english,demi moore jason alexander bill fagerbakke gary trousdale animation drama family musical romance 15th century cathedral gypsy paris victor hugo english
mark dindal,eartha kitt,wendie malick,john fiedler,adventure animation comedy family fantasy,the emperor's new groove,antidote disney emperor first part llama,english,eartha kitt wendie malick john fiedler mark dindal adventure animation comedy family fantasy antidote disney emperor first part llama english
simon west,jason statham,sylvester stallone,bruce willis,action adventure thriller,the expendables 2,church hostage mine plutonium revenge,english,jason statham sylvester stallone bruce willis simon west action adventure thriller church hostage mine plutonium revenge english
jon turteltaub,nicolas cage,armando riesco,annie parisse,action adventure comedy family mystery,national treasure,declaration of independence secret society treasure treasure hunt treasure hunter,english,nicolas cage armando riesco annie parisse jon turteltaub action adventure comedy family mystery declaration of independence secret society treasure treasure hunt treasure hunter english
stefen fangmeier,djimon hounsou,ed speleers,gary lewis,action adventure family fantasy,eragon,dragon dragon rider fictional war sword and fantasy teenage hero,english,djimon hounsou ed speleers gary lewis stefen fangmeier action adventure family fantasy dragon dragon rider fictional war sword and fantasy teenage hero english
spike jonze,catherine o'hara,ryan corr,max records,adventure drama family fantasy,where the wild things are,based on children's book creature igloo imagination king,english,catherine o'hara ryan corr max records spike jonze adventure drama family fantasy based on children's book creature igloo imagination king english
chris wedge,josh hutcherson,emma kenney,troy evans,adventure animation family fantasy,epic,father daughter relationship forest miniature person shrinking sword and fantasy,english,josh hutcherson emma kenney troy evans chris wedge adventure animation family fantasy father daughter relationship forest miniature person shrinking sword and fantasy english
peter hyams,cch pounder,mark margolis,udo kier,action fantasy horror mystery,end of days,atheist ex cop female masturbation female nudity lucifer,english,cch pounder mark margolis udo kier peter hyams action fantasy horror mystery atheist ex cop female masturbation female nudity lucifer english
edward zwick,leonardo dicaprio,djimon hounsou,stephen collins,adventure drama thriller,blood diamond,diamond elephant fisherman rebel sierra leone,english,leonardo dicaprio djimon hounsou stephen collins edward zwick adventure drama thriller diamond elephant fisherman rebel sierra leone english
martin scorsese,leonardo dicaprio,matthew mcconaughey,jon favreau,biography comedy crime drama,the wolf of wall street,based on true story fellatio female rear nudity sex in an airplane stockbroker,english,leonardo dicaprio matthew mcconaughey jon favreau martin scorsese biography comedy crime drama based on true story fellatio female rear nudity sex in an airplane stockbroker english
joel schumacher,michael gough,rene auberjonois,debi mazar,action adventure fantasy,batman forever,love necktie partner rock music tuxedo,english,michael gough rene auberjonois debi mazar joel schumacher action adventure fantasy love necktie partner rock music tuxedo english
paul verhoeven,jake busey,patrick muldoon,seth gilliam,action sci-fi war,starship troopers,alien federation future military planet,english,jake busey patrick muldoon seth gilliam paul verhoeven action sci-fi war alien federation future military planet english
tom tykwer,tom hanks,jim sturgess,jim broadbent,drama sci-fi,cloud atlas,composer future letter nonlinear timeline nursing home,english,tom hanks jim sturgess jim broadbent tom tykwer drama sci-fi composer future letter nonlinear timeline nursing home english
zack snyder,abbie cornish,richard roxburgh,anthony lapaglia,action adventure animation family fantasy,legend of the guardians: the owls of ga'hoole,barn owl escape owl ruler soldier,english,abbie cornish richard roxburgh anthony lapaglia zack snyder action adventure animation family fantasy barn owl escape owl ruler soldier english
pitof,frances conroy,christopher heyerdahl,alex borstein,action crime fantasy romance thriller,catwoman,based on cult comic book bechdel test passed cat detective radical transformation,english,frances conroy christopher heyerdahl alex borstein pitof action crime fantasy romance thriller based on cult comic book bechdel test passed cat detective radical transformation english
ron clements,joseph gordon-levitt,martin short,michael wincott,adventure animation family sci-fi,treasure planet,alien cyborg pirate planet treasure,english,joseph gordon-levitt martin short michael wincott ron clements adventure animation family sci-fi alien cyborg pirate planet treasure english
brad silberling,will ferrell,anna friel,bobb'e j. thompson,adventure comedy sci-fi,land of the lost,human versus dinosaur lizard primate time travel tyrannosaurus rex,english,will ferrell anna friel bobb'e j. thompson brad silberling adventure comedy sci-fi human versus dinosaur lizard primate time travel tyrannosaurus rex english
patrick hughes,jason statham,sylvester stallone,harrison ford,action adventure thriller,the expendables 3,battle fight mission pg 13 sequel to r rated franchise rescue,english,jason statham sylvester stallone harrison ford patrick hughes action adventure thriller battle fight mission pg 13 sequel to r rated franchise rescue english
lawrence guterman,jamie kennedy,traylor howard,ben stein,comedy family fantasy,son of the mask,baby cartoon on tv cartoonist dog mask,english,jamie kennedy traylor howard ben stein lawrence guterman comedy family fantasy baby cartoon on tv cartoonist dog mask english
ron howard,chris hemsworth,benjamin walker,frank dillane,action adventure biography drama history thriller,in the heart of the sea,emaciation ship starvation vomiting whale,english,chris hemsworth benjamin walker frank dillane ron howard action adventure biography drama history thriller emaciation ship starvation vomiting whale english
ron underwood,rosario dawson,randy quaid,burt young,action comedy sci-fi,the adventures of pluto nash,casino future laser gun moon nightclub,english,rosario dawson randy quaid burt young ron underwood action comedy sci-fi casino future laser gun moon nightclub english
paul greengrass,matt damon,sean huze,igal naor,action drama thriller war,green zone,cia iraq iraqi political military conspiracy weapon of mass destruction,english,matt damon sean huze igal naor paul greengrass action drama thriller war cia iraq iraqi political military conspiracy weapon of mass destruction english
steve martino,francesca capaldi,venus schultheis,bill melendez,adventure animation comedy family,the peanuts movie,dog girl imagination peanuts red hair,english,francesca capaldi venus schultheis bill melendez steve martino adventure animation comedy family dog girl imagination peanuts red hair english
david mamet,ben gazzara,felicity huffman,campbell scott,drama mystery thriller,the spanish prisoner,brother sister relationship extradition fbi japanese tourist secret,english,ben gazzara felicity huffman campbell scott david mamet drama mystery thriller brother sister relationship extradition fbi japanese tourist secret english
stephen sommers,dwayne johnson,brendan fraser,patricia velasquez,action adventure fantasy thriller,the mummy returns,ancient egypt bracelet king scorpion son,english,dwayne johnson brendan fraser patricia velasquez stephen sommers action adventure fantasy thriller ancient egypt bracelet king scorpion son english
martin scorsese,leonardo dicaprio,liam neeson,jim broadbent,crime drama,gangs of new york,butcher civil war gangster new york city revenge,english,leonardo dicaprio liam neeson jim broadbent martin scorsese crime drama butcher civil war gangster new york city revenge english
yimou zhang,christian bale,ni ni,shigeo kobayashi,drama history romance war,the flowers of war,abusive stepfather attempted rape food shortage sexual abuse starving child,mandarin,christian bale ni ni shigeo kobayashi yimou zhang drama history romance war abusive stepfather attempted rape food shortage sexual abuse starving child mandarin
ash brannon,jeff bridges,zooey deschanel,jon heder,animation comedy family sport,surf's up,chicken competition island penguin surfing,english,jeff bridges zooey deschanel jon heder ash brannon animation comedy family sport chicken competition island penguin surfing english
frank oz,jon lovitz,matthew broderick,roger bart,comedy sci-fi thriller,the stepford wives,community connecticut fem bot tv producer writer,english,jon lovitz matthew broderick roger bart frank oz comedy sci-fi thriller community connecticut fem bot tv producer writer english
ridley scott,ioan gruffudd,sam shepard,ewen bremner,drama history war,black hawk down,army helicopter somali somalia warlord,english,ioan gruffudd sam shepard ewen bremner ridley scott drama history war army helicopter somali somalia warlord english
jay roach,will ferrell,thomas middleditch,katherine lanasa,comedy,the campaign,campaigning congressman north carolina title at the end u.s. congressman,english,will ferrell thomas middleditch katherine lanasa jay roach comedy campaigning congressman north carolina title at the end u.s. congressman english
luc besson,milla jovovich,bruce willis,gary oldman,action adventure sci-fi,the fifth element,1910s alien artificially created woman love taxi driver,english,milla jovovich bruce willis gary oldman luc besson action adventure sci-fi 1910s alien artificially created woman love taxi driver english
michael patrick king,chris noth,liza minnelli,kristin davis,comedy drama romance,sex and the city 2,abu dhabi box office hit muslim nanny united arab emirates,english,chris noth liza minnelli kristin davis michael patrick king comedy drama romance abu dhabi box office hit muslim nanny united arab emirates english
bibo bergeron,frank welker,rosie perez,elton john,adventure animation comedy family romance,the road to el dorado,adventurer el dorado gold high priest implied sex,english,frank welker rosie perez elton john bibo bergeron adventure animation comedy family romance adventurer el dorado gold high priest implied sex english
steve martino,peter dinklage,josh gad,drake,adventure animation comedy family,ice age: continental drift,acorn herd iceberg ocean pirate,english,peter dinklage josh gad drake steve martino adventure animation comedy family acorn herd iceberg ocean pirate english
andrew stanton,alexander gould,stephen root,brad garrett,adventure animation comedy family,finding nemo,great barrier reef protective father separation from family shark short term memory loss,english,alexander gould stephen root brad garrett andrew stanton adventure animation comedy family great barrier reef protective father separation from family shark short term memory loss english
peter jackson,orlando bloom,billy boyd,bernard hill,action adventure drama fantasy,the lord of the rings: the return of the king,battle epic king orc ring,english,orlando bloom billy boyd bernard hill peter jackson action adventure drama fantasy battle epic king orc ring english
