director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,plot_keywords,language
roman polanski,ian mcneice,barney clark,tony noble,crime drama,oliver twist,boy character name in title orphan pickpocket workhouse,english
rob bowman,jennifer garner,cary-hiroyuki tagawa,goran visnjic,action crime fantasy thriller,elektra,assassin battle heroine martial arts spin off,english
frank miller,joseph gordon-levitt,bruce willis,eva green,action crime thriller,sin city: a dame to kill for,box office flop female frontal nudity female rear nudity jackpot rescue,english
sydney pollack,harrison ford,kristin scott thomas,bill cobbs,drama mystery romance,random hearts,death plane crash police police sergeant politician,english
baltasar kormákur,michael kelly,martin henderson,tom goodman-hill,adventure biography drama history sport thriller,everest,blizzard mount everest mountain mountain climbing snow,english
tom tykwer,michael smiley,david calder,simon chandler,crime drama fantasy,perfume: the story of a murderer,18th century perfume scent sense of smell smell,english
jay roach,verne troyer,josh zuckerman,robert wagner,action comedy crime,austin powers in goldmember,fem bot prison seductive fembot spy time travel,english
david bowers,nicolas cage,charlize theron,dee bradley baker,action animation comedy family sci-fi,astro boy,betrayal futuristic gladiator robot scientist,english
steven spielberg,wayne knight,ariana richards,bob peck,adventure sci-fi thriller,jurassic park,dinosaur jurassic park survival theme park tyrannosaurus rex,english
lawrence kasdan,dennis quaid,catherine o'hara,isabella rossellini,adventure biography crime drama western,wyatt earp,historically inaccurate name calling penis slur vomiting wyatt earp,english
phillip noyce,harrison ford,dean jones,raymond cruz,action crime drama thriller,clear and present danger,cia colombia colombian drug cartel drugs president,english
daniel lee,si won choi,peng lin,sung-jun yoo,action adventure drama history,dragon blade,child fugitive final battle martial art silk road sword,mandarin
keenen ivory wayans,chazz palminteri,brittany daniel,john witherspoon,comedy crime,littleman,diamond infant parody spoof sports violence,english
jonathan mostow,matthew mcconaughey,thomas kretschmann,david keith,action war,u-571,battle historically inaccurate submarine movie u boat world war two,english
rob reiner,shawna waldron,samantha mathis,wendie malick,comedy drama romance,the american president,lobbyist president senator state dinner widower,english
marco schnabel,justin timberlake,romany malco,verne troyer,comedy romance sport,the love guru,bloopers during credits bucket of popcorn chastity belt guru toronto maple leafs,english
demian lichtenstein,jon lovitz,bokeem woodbine,ice-t,action comedy crime thriller,3000 miles to graceland,casino elvis impersonator gun heist rascal,english
quentin tarantino,craig stark,jennifer jason leigh,zoë bell,crime drama mystery thriller western,the hateful eight,blizzard blood vomiting bounty hunter murder shot in the crotch,english
josh gordon,will ferrell,amy poehler,jon heder,comedy sport,blades of glory,competition fight ice jock strap nintendo game boy advance,english
tim hill,gary cole,elizabeth perkins,chelsea handler,adventure animation comedy family fantasy,hop,drummer easter easter bunny piaggio vespa gtv 250 slacker,english
zack snyder,gerard butler,michael fassbender,vincent regan,action drama fantasy war,300,battle epic greece spartan warrior,english
jay roach,robert de niro,blythe danner,teri polo,comedy romance,meet the fockers,bare butt defecation father in law son in law relationship nurse sexual innuendo in title,english
david frankel,eric dane,kathleen turner,haley bennett,comedy drama family,marley & me,box office hit dog dog movie florida pet name in title,english
frank darabont,tom hanks,jeffrey demunn,michael jeter,crime drama fantasy mystery,the green mile,1930s death row inmate healing prison guard southern u.s.,english
walt becker,jill hennessy,tichina arnold,drew sidora,action adventure comedy,wild hogs,biker gang friend motorcycle new mexico road trip,english
mark dindal,catherine o'hara,fred willard,amy sedaris,adventure animation comedy family sci-fi,chicken little,alien invasion chicken fish friend panic,english
david fincher,patrick fugit,sela ward,emily ratajkowski,crime drama mystery thriller,gone girl,based on novel disappearance missing person missing wife murder suspect,english
doug liman,matt damon,josh hamilton,nicky naudé,action mystery thriller,the bourne identity,amnesia assassin money political thriller three word title,english
martin campbell,izabella scorupco,joe don baker,tchéky karyo,action adventure thriller,goldeneye,agent cossack official james bond series russia russian,english
simon west,daniel von bargen,timothy hutton,clarence williams iii,drama mystery thriller,the general's daughter,army cid cover up military murder woman in military,english
peter weir,natascha mcelhone,noah emmerich,peter krause,comedy drama sci-fi,the truman show,controlled environment fictional reality show hidden camera innocence lost simulated reality,english
brenda chapman,martin short,aria noelle curzon,eden riegel,adventure animation biography drama family fantasy musical,the prince of egypt,ancient egypt hebrew nudity pharaoh title directed by female,english
steve carr,anjelica huston,lisa edelstein,jeff garlin,comedy family,daddy day care,bloopers during credits breakfast cereal department store ride face painting sponge bob square pants slippers,english
baltasar kormákur,denzel washington,patrick fischler,fred ward,action comedy crime drama thriller,2 guns,close up of breasts female nudity fugitive money undercover,english
lawrence guterman,carol ann susi,elizabeth perkins,miriam margolyes,action comedy family fantasy,cats & dogs,cartoon on tv cat dog scientist secret agent,english
f. gary gray,jason statham,charlize theron,jimmy shubert,action crime thriller,the italian job,gold heist revenge traffic jam venice italy,english
marc lawrence,dorian missick,alicia witt,dana ivey,comedy romance,two weeks notice,developer divorce lawyer love new york city,english
eric darnell,sylvester stallone,woody allen,anne bancroft,adventure animation comedy family,antz,ant friend princess soldier worker,english
peter billingsley,jon favreau,kristin davis,tasha smith,comedy,couples retreat,couple island marriage tropical voyeurism,english
tony scott,tom cruise,robert duvall,randy quaid,action drama sport,days of thunder,driver hot shot racing stock car driver team,english
adam shankman,taylor lautner,tom welling,alyson stoner,adventure comedy family,cheaper by the dozen 2,children competition rival second part vacation,english
wes ball,ki hong lee,lili taylor,rosa salazar,action sci-fi thriller,the scorch trials,desert disease escape resistance virus,english
ryan murphy,james franco,julia roberts,billy crudup,drama romance,eat pray love,divorce emotional balance female protagonist indonesia inner peace,english
brett ratner,nicolas cage,don cheadle,amber valletta,comedy drama fantasy romance,the family man,bowling christmas parallel universe salesman unfaithfulness,english
robert schwentke,bruce willis,morgan freeman,jaqueline fleming,action comedy crime thriller,red,cia female assassin interrogation office cubicle spy,english
oliver stone,al pacino,dennis quaid,ll cool j,drama sport,any given sunday,breasts coach football in medias res vomiting,english
robert redford,scarlett johansson,kristin scott thomas,jessalyn gilsig,drama romance western,the horse whisperer,grace groom horse montana western u.s.,english
michael mann,tom cruise,jada pinkett smith,debi mazar,crime drama thriller,collateral,city by night contract killer driving at night los angeles california taxi,english
chuck russell,dwayne johnson,roger rees,bernard hill,action adventure fantasy thriller,the scorpion king,desert king showdown sorceress warrior,english
jay russell,billy burke,jay hernandez,jacinda barrett,action drama thriller,ladder 49,death of husband fire firefighter funeral main character dies,english
christopher mcquarrie,tom cruise,robert duvall,david oyelowo,action crime mystery thriller,jack reacher,coma mysterious villain police chase shooting range sniper,english
renny harlin,ll cool j,michael rapaport,saffron burrows,action sci-fi thriller,deep blue sea,alzheimer's disease experiment human versus shark research underwater headquarters,english
kenny ortega,misha gabriel hamilton,mekia cox,judith hill,documentary music,this is it,2000s box office hit comeback rehearsal year 2009,english
steven soderbergh,matt damon,monique gabriela curnen,griffin kane,drama thriller,contagion,contagion cure infection panic virus,english
david mcnally,estella warren,dyan cannon,bill hunter,action adventure comedy crime,kangaroo jack,australia body paint kangaroo mob money,english
henry selick,jennifer saunders,dawn french,john hodgman,animation family fantasy,coraline,dream new home parallel worlds scissors secret door,english
m. night shyamalan,zooey deschanel,alan ruck,kristen connolly,sci-fi thriller,the happening,bee nature park school teacher,english
tony scott,denzel washington,radha mitchell,giancarlo giannini,action crime drama thriller,man on fire,bodyguard journalist kidnapping mexico police corruption,english
brian robbins,robert downey jr.,joel david moore,kristin davis,comedy family fantasy,the shaggy dog,animal as human dog movie elevator human becoming an animal sheepdog,english
todd phillips,snoop dogg,carmen electra,fred williamson,comedy crime,starsky & hutch,cocaine cop criminal partner police,english
brian levant,jim belushi,harvey korman,jake lloyd,comedy family,jingle all the way,action figure christmas hero karate toy,english
guillermo del toro,james babson,rupert evans,brian steele,action fantasy horror sci-fi,hellboy,assassin demon hero nazi superhero,english
steven zaillian,robert duvall,kathleen quinlan,sydney pollack,drama,a civil action,1980s law firm lawsuit lawyer toxic waste,english
chris butler,anna kendrick,kodi smit-mcphee,elaine stritch,adventure animation comedy family fantasy,paranorman,curse ghost outcast witch zombie,english
michael caton-jones,j.k. simmons,bruce willis,sophie okonedo,action adventure crime thriller,the jackal,assassin fbi ira jackal russian,english
john woo,ivana milicevic,joe morton,callum rennie,action mystery sci-fi thriller,paycheck,anti hero babe scientist engineer memory money,english
jon avnet,joe mantegna,stockard channing,raymond cruz,drama romance,up close & personal,journalism news anchor newscast newscaster tv journalism,english
sam fell,emma watson,matthew broderick,frank langella,adventure animation comedy family fantasy,the tale of despereaux,book darkness dungeon princess rat,english
unknown_director,bianca kajlich,oliver hudson,adhir kalyan,comedy romance,rules of engagement            ,fiance fiancee magazine editor naivety womanizer,english
kevin donovan,romany malco,debi mazar,ritchie coster,action comedy sci-fi,the tuxedo,chauffeur hospital secret agent spying tuxedo,english
geoff murphy,peter greene,brenda bakke,patrick kilpatrick,action thriller,under siege 2: dark territory,colorado niece satellite terrorist train,english
kenneth branagh,colm feore,nonso anozie,gemma chan,action drama thriller,jack ryan: shadow recruit,covert analyst marine russian spy stock market,english
david o. russell,jennifer lawrence,robert de niro,bradley cooper,biography comedy drama,joy,based on real person female inventor mop sales pitch woman holding a shotgun,english
babak najafi,gerard butler,radha mitchell,julian kostov,action crime drama thriller,london has fallen,british funeral good versus evil mole sequel,english
jean-pierre jeunet,gary dourdan,michael wincott,raymond cruz,action horror sci-fi,alien: resurrection,alien blood breeding clone scientist,english
antoine fuqua,tate donovan,ned beatty,louis ferreira,action crime drama mystery thriller,shooter,colonel ethiopia marksman on the run rangefinder,english
graham annable,isaac hempstead wright,dee bradley baker,tracy morgan,adventure animation comedy family fantasy,the boxtrolls,chase puppet animation red hat stop motion animation troll,english
griffin dunne,goran visnjic,dianne wiest,stockard channing,comedy drama fantasy romance,practical magic,curse death island love magic,english
phil lord,morgan freeman,will ferrell,alison brie,action adventure animation comedy family fantasy,the lego movie,based on toy dual personality evil businessman good cop bad cop lego,english
john pasquin,eileen brennan,diedrich bader,treat williams,action comedy crime,miss congeniality 2: armed and fabulous,bodyguard fbi fbi agent female protagonist undercover,english
rob bowman,christian bale,gerard butler,matthew mcconaughey,action adventure fantasy sci-fi thriller,reign of fire,castle dragon fire breathing dragon militia survival,english
ruben fleischer,ryan gosling,brandon molale,wade williams,action crime drama thriller,gangster squad,good versus evil machine gun mobster police vigilantism year 1949,english
harold ramis,olivia wilde,oliver platt,xander berkeley,adventure comedy,year one,abraham hunter princess sodom tribe,english
clint eastwood,matt damon,morgan freeman,leleti khumalo,biography drama history sport,invictus,apartheid nation nelson mandela president rugby,english
kevin macdonald,robin wright,harry lennix,michael weston,crime drama mystery thriller,state of play,congressman conspiracy newspaper political conspiracy subway,english
tony gilroy,julia roberts,tom wilkinson,denis o'hare,comedy crime romance thriller,duplicity,ceo dubai product rivalry spy,english
donald petrie,steven anthony lawrence,ray walston,michael lerner,comedy family sci-fi,my favorite martian,alien hidden camera martian reporter spaceship,english
clark johnson,blair brown,david rasche,martin donovan,action crime thriller,the sentinel,first lady framed investigation president secret service,english
jorge blanco,dwayne johnson,gary oldman,james corden,adventure animation comedy family sci-fi,planet 51,alien alien planet astronaut planet teenager,english
stuart baird,tom hardy,levar burton,jonathan frakes,action adventure sci-fi thriller,star trek: nemesis,earth federation romulan slave space,english
joel coen,cedric the entertainer,paul adelstein,julia duffy,comedy crime romance,intolerable cruelty,attorney divorce marriage real estate screwball comedy,english
robert lorenz,clint eastwood,ed lauter,bob gunton,drama sport,trouble with the curve,aging baseball baseball scout north carolina pitcher,english
martin campbell,bojana novakovic,ray winstone,denis o'hare,crime drama mystery thriller,edge of darkness,activist detective father daughter relationship investigation vigilantism,english
peter hyams,john kapelos,penelope ann miller,chi muoi lo,horror mystery sci-fi thriller,the relic,fire helicopter museum police sergeant relic,english
harold ramis,robert de niro,cathy moriarty,joe viterelli,comedy crime,analyze that,blonde mafia mental illness prison second part,english
jon avnet,robert de niro,al pacino,50 cent,action crime drama mystery thriller,righteous kill,blood splatter execution new york city nypd serial killer,english
harold becker,bruce willis,miko hughes,carrie preston,action crime drama thriller,mercury rising,autistic child boy child in danger fbi nsa,english
joe wright,robert downey jr.,stephen root,rachael harris,biography drama music,the soloist,columnist journalist los angeles times musician wearing a traffic cone as a hat,english
robert redford,matt damon,will smith,charlize theron,drama fantasy sport,the legend of bagger vance,caddy game golf golf course golfer,english
cameron crowe,philip seymour hoffman,zooey deschanel,michael angarano,adventure comedy drama music,almost famous,band magazine rolling stone magazine smoking marijuana tour,english
tim hill,bill murray,roger rees,ben falcone,animation comedy family fantasy,garfield 2,cat england lti txii peugeot 206 rover 3 5 litre.coupe p5b,english
lee tamahori,sunny mabrey,nona gaye,xzibit,action adventure crime thriller,xxx: state of the union,coup d'etat mutiny president u.s. navy washington d.c.,english
scott stewart,josh wingate,alan dale,jacob hopkins,action fantasy horror sci-fi thriller,priest,church priest sheriff vampire warrior,english
patrick gilmore,brad pitt,adriano giannini,timothy west,adventure animation comedy drama family fantasy romance,sinbad: legend of the seven seas,book framed goddess prince sinbad,english
paul w.s. anderson,sean pertwee,joely richardson,kathleen quinlan,horror sci-fi thriller,event horizon,solar system space spaceship starship year 2047,english
joss whedon,chris hemsworth,robert downey jr.,scarlett johansson,action adventure sci-fi,the avengers,alien invasion assassin battle iron man soldier,english
tom shadyac,joe morton,susanna thompson,matt craven,drama fantasy mystery romance thriller,dragonfly,death doctor grave patient venezuela,english
brian de palma,scarlett johansson,mia kirshner,mike starr,crime drama mystery thriller,the black dahlia,black dahlia boxer corpse death partner,english
tony bill,james franco,tyler labine,philip winchester,action adventure drama history romance war,flyboys,american france military pilot training,english
rod lurie,clifton collins jr.,delroy lindo,michael irby,action drama thriller,the last castle,colonel general military prison three star general,english
walter hill,robert forster,wilson cruz,vanessa marshall,horror sci-fi thriller,supernova,deep space distress signal explosion mining rescue,english
akiva goldsman,matt bomer,william hurt,kevin corrigan,drama fantasy mystery romance,winter's tale,black and white photograph drawing with blood falling through ice playing piano red haired woman,english
harald zwart,aidan turner,kevin zegers,cch pounder,fantasy horror mystery romance,the mortal instruments: city of bones,battle demon magic secret warrior,english
brian robbins,marc blucas,mike o'malley,shawn christian,adventure comedy family romance sci-fi,meet dave,alien mutiny orb planet spaceship,english
walter salles,dougray scott,camryn manheim,ariel gade,drama horror thriller,dark water,apartment hello kitty school teacher water,english
ron howard,matthew mcconaughey,adam goldberg,clint howard,comedy drama,edtv,female removes her clothes one word title producer television video store,english
iain softley,brendan fraser,stephen graham,jamie foreman,adventure family fantasy,inkheart,book escape girl overalls villain,english
frank miller,scarlett johansson,jaime king,louis lombardi,action crime fantasy thriller,the spirit,female star appears nude pants falling down samurai white rat woman in a towel,english
david koepp,johnny depp,olivia munn,ulrich thomsen,action comedy mystery romance,mortdecai,art dealer fake painting macguffin moustache stolen painting,english
uwe boll,jason statham,mike dopud,tania saulnier,action adventure fantasy thriller,in the name of the king: a dungeon siege tale,farmer king krug rescue wizard,english
martin campbell,angelina jolie pitt,teri polo,noah emmerich,adventure drama romance war,beyond borders,africa american border doctor well,english
pou-soi cheang,li gong,aaron kwok,eddie peng,action adventure fantasy,xi you ji zhi: sun wukong san da baigu jing,buddhism demon journey to the west monk monkey king,english
john dahl,james franco,clayne crawford,paolo montalban,action drama war,the great raid,american lieutenant colonel mission rescue soldier,filipino
tim miller,ryan reynolds,ed skrein,stefan kapicic,action adventure comedy romance sci-fi,deadpool,based on comic book breaking the fourth wall mercenary mutant self healing,english
stephen herek,kelly preston,morgan fairchild,eric mccormack,comedy drama,holy man,1990s evangelist professional rivalry swimming pool televangelist,english
clint eastwood,bradley cooper,leonard roberts,keir o'donnell,action biography drama history thriller war,american sniper,assassin death of child iraq sniper sniper rifle,english
rob letterman,odeya rush,dylan minnette,ken marino,adventure comedy family fantasy horror,goosebumps,based on book blob ferris wheel manuscript monster,english
unknown_director,nate richert,soleil moon frye,caroline rhea,comedy family fantasy,"sabrina, the teenage witch            ",female protagonist hereditary gift of witchcraft magic supernatural witch,english
mark waters,jon heder,ivana milicevic,willie garson,comedy fantasy romance,just like heaven,apartment architect coma doctor spirit,english
brian levant,taylor negron,mark addy,danny woodburn,comedy family romance sci-fi,the flintstones in viva rock vegas,based on tv series love prequel the flintstones title appears in song,english
peter macdonald,sylvester stallone,kurtwood smith,richard crenna,action adventure thriller war,rambo iii,afghanistan colonel rambo rescue soviet,english
george clooney,robert baker,malcolm goodwin,matt bushell,comedy drama romance sport,leatherheads,college football fight football hero surrender,english
frank coraci,taylor lautner,adam sandler,jon lovitz,comedy western,the ridiculous 6,apache bank robbery baseball half brothers white raised as indian,english
marc lawrence,michael kelly,kim shaw,kevin brown,comedy drama romance,did you hear about the morgans?,fbi murder witness witness protection wyoming,english
shawn levy,josh gad,jessica szohr,rob riggle,comedy,the internship,actor's picture shown in credits animated credits google internship still images in end credits,english
paul w.s. anderson,milla jovovich,boris kodjoe,shawn roberts,action adventure horror sci-fi,resident evil: afterlife,alaska female gunfighter mutation ship siege,english
anthony hemingway,david oyelowo,nate parker,tristan mack wilds,action adventure drama history war,red tails,african american battle italy tuskegee airmen world war two,english
unknown_director,chris noth,kristin davis,cynthia nixon,comedy romance,sex and the city            ,casual sex friendship friendship between women gay singles,english
taylor hackford,keanu reeves,al pacino,charlize theron,drama mystery thriller,the devil's advocate,deal with the devil lawyer money reality supernatural power,english
sean anders,adam sandler,leighton meester,will forte,comedy,that's my boy,argument reference to vanilla ice statutory rape teacher student relationship teacher student sex,english
rob cohen,dennis quaid,brian thompson,terry o'neill,action adventure fantasy,dragonheart,dragon england human dragon relationship king knight,english
brett ratner,salma hayek,don cheadle,chris penn,action comedy crime drama,after the sunset,diamond fbi fbi agent island thief,english
mark neveldine,nicolas cage,spencer wilding,christopher lambert,action fantasy thriller,ghost rider: spirit of vengeance,deal with the devil devil eastern europe ghost rider monk,english
john madden,christian bale,irene papas,mihalis giannatos,drama music romance war,captain corelli's mandolin,captain greek island italian love,english
unknown_director,barry corbin,noureen dewulf,brian austin green,comedy romance,anger management            ,anger management argument irony sarcasm therapist,english
adam shankman,vin diesel,brad garrett,tate donovan,action comedy drama family thriller,the pacifier,bodyguard death of husband male nanny nanny wrestling match,english
kevin bray,dwayne johnson,ashley scott,michael bowen,action crime,walking tall,casino football sheriff special forces violence,english
robert zemeckis,tom hanks,siobhan fallon hogan,sam anderson,comedy drama,forrest gump,amputee love vietnam vietnam war war hero,english
tim hill,jesse mccartney,beth riesgraf,matthew gray gubler,animation comedy family fantasy music,alvin and the chipmunks,based on cartoon chipmunk concert fart joke talking animal,english
jay roach,robert de niro,blythe danner,teri polo,comedy,meet the parents,cat cia jewish male nurse nurse,english
mike gabriel,christian bale,frank welker,irene bedard,adventure animation drama family history musical romance,pocahontas,actor playing multiple roles love one word title unsubtitled foreign language virginia,english
richard donner,marlon brando,margot kidder,ned beatty,action adventure drama romance sci-fi,superman,1970s clark kent planet superhero year 1978,english
tom shadyac,jada pinkett smith,james coburn,dave chappelle,comedy romance sci-fi,the nutty professor,face slap formula overweight professor teacher,english
andy tennant,will smith,michael rapaport,kevin sussman,comedy romance,hitch,advice friendship gossip newspaper quitting a job,english
sam weisman,brendan fraser,abraham benrubi,holland taylor,action adventure comedy family romance,george of the jungle,animal companion heiress hero jungle male objectification,english
jesse dylan,alyson hannigan,thomas ian nicholas,fred willard,comedy romance,american wedding,bachelor party blow job breasts friend wedding,english
paul greengrass,tom hanks,chris mulkey,michael chernus,biography drama thriller,captain phillips,hijacking hostage leader ship somalia,english
shawn levy,mila kunis,james franco,steve carell,comedy crime romance thriller,date night,city new york city night reservation restaurant,english
brad silberling,eric idle,fred rogers,cathy moriarty,comedy family fantasy,casper,casper friendly ghost ghost maine mansion,english
antoine fuqua,denzel washington,chloë grace moretz,james wilcox,action crime thriller,the equalizer,assassin ex soldier gangster hanged man mysterious past,english
wayne wang,bob hoskins,frances conroy,natasha richardson,comedy drama romance,maid in manhattan,hotel maid new york city place name in title the bronx,english
tony scott,denzel washington,viggo mortensen,ricky schroder,action drama thriller war,crimson tide,alabama mutiny order radio submarine,english
gabriele muccino,will smith,kurt fuller,james karen,biography drama,the pursuit of happyness,bus intern internship salesman stockbroker,english
robert schwentke,erika christensen,michael irby,haley ramm,drama mystery thriller,flightplan,captain flight flight attendant plane search,english
barry levinson,demi moore,dylan baker,roma maffia,drama thriller,disclosure,computer marriage non statutory female on male rape promotion sexual harassment,english
brad silberling,nicolas cage,andre braugher,colm feore,drama fantasy romance,city of angels,angel doctor fall heart surgeon hospital,english
quentin tarantino,david carradine,vivica a. fox,chiaki kuriyama,action,kill bill: vol. 1,bride coma japan revenge sword,english
frank oz,robert downey jr.,adam alexi-malle,jamie kennedy,comedy,bowfinger,film within a film filmmaking guerrilla filmmaking making of a movie scientology parody,english
unknown_director,christopher judge,don s. davis,gary jones,action adventure drama sci-fi,stargate sg-1            ,2000s 21st century alternate history message from outer space military,english
quentin tarantino,vivica a. fox,michael parks,michael bowen,action crime drama thriller,kill bill: vol. 2,assassin assassination bride death vengeance,english
andrey konchalovskiy,sylvester stallone,jack palance,brion james,action comedy crime thriller,tango & cash,1980s 80s action escape plea bargain prison,english
robert zemeckis,bruce willis,meryl streep,isabella rossellini,comedy fantasy horror,death becomes her,plastic surgeon rejuvenation revenge rival rivalry,english
tom dey,xander berkeley,jason connery,kate luyben,action adventure comedy western,shanghai noon,19th century chinese princess rescue travel,english
stuart baird,oliver platt,joe morton,j.t. walsh,action adventure thriller,executive decision,bomb hostage military plane terrorist,english
mark waters,madeline carroll,ophelia lovibond,philip baker hall,comedy family fantasy,mr. popper's penguins,father penguin snowglobe son winter,english
rob minkoff,jet li,thomas mcdonell,michael angarano,action adventure fantasy,the forbidden kingdom,monkey king staff teenager urination warrior,english
jimmy hayward,amy poehler,carlos ponce,dan fogler,adventure animation comedy family,free birds,chipmunk hunting dog sabotage thanksgiving turkey the bird,english
david fincher,charles s. dutton,holt mccallany,paul mcgann,action horror sci-fi,alien 3,alien crash planet prison survivor,english
alan parker,andrea corr,jimmy nail,peter polycarpou,biography drama history musical,evita,actress argentina military politics singer,english
john frankenheimer,robert de niro,natascha mcelhone,michael lonsdale,action adventure crime thriller,ronin,case ex kgb ronin russian suitcase,english
stephen hopkins,tom wilkinson,bernard hill,om puri,adventure drama horror thriller,the ghost and the darkness,bridge engineer hunter lion railway,english
paul king,julie walters,matt lucas,sally hawkins,animation comedy family fantasy,paddington,bear ear wax cleaning fake newsreel paddington station london taxidermist,english
akiva schaffer,will forte,nicholas braun,rosemarie dewitt,action comedy sci-fi,the watch,alien escape manager neighborhood watch ohio,english
william friedkin,connie nielsen,jenna boyd,rex linn,action crime drama thriller,the hunted,capture combat fbi hunter special forces,english
jon turteltaub,anthony hopkins,maura tierney,john ashton,drama thriller,instinct,africa anthropologist murder poacher psychiatrist,english
bobby farrelly,matt damon,terence bernie hines,seymour cassel,comedy,stuck on you,actor conjoined twins cook internet short order cook,english
kent alterman,will ferrell,maura tierney,matt walsh,comedy sport,semi-pro,flint michigan merger michigan nba team,english
peter lord,salma hayek,russell tovey,brian blessed,adventure animation comedy family,the pirates! band of misfits,charles darwin cutlass pirate queen victoria scientist,english
clint eastwood,angelina jolie pitt,michael kelly,colm feore,crime drama mystery thriller,changeling,execution by hanging los angeles police department miscarriage of justice missing child wrongful conviction,english
andrew davis,keanu reeves,morgan freeman,kevin dunn,action drama sci-fi thriller,chain reaction,cold fusion die hard scenario man with glasses on the run outrunning explosion,english
tony scott,robert de niro,kurt fuller,ellen barkin,action drama sport thriller,the fan,baseball fan obsession salesman san francisco giants,english
joel schumacher,gerard butler,minnie driver,miranda richardson,drama musical romance thriller,the phantom of the opera,based on stage musical based on novel disfigurement mask opera singer,english
shekhar kapur,eddie redmayne,abbie cornish,jordi mollà,biography drama history war,elizabeth: the golden age,court intrigue queen spain virgin,english
karyn kusama,charlize theron,sophie okonedo,paterson joseph,action sci-fi,æon flux,based on cult favorite disease female hero female protagonist future,english
ron maxwell,billy campbell,bruce boxleitner,john castle,drama history war,gods and generals,confederacy hero prequel stonewall jackson war hero,english
robert butler,hector elizondo,lauren holly,jeffrey demunn,action thriller,turbulence,airplane christmas marshal pilot u.s. marshal,english
karey kirkpatrick,stephen root,ronny cox,richard schiff,comedy drama family fantasy,imagine that,blanket competition family relationships feather sleepover,english
james bobin,ty burrell,tina fey,hugh bonneville,adventure comedy crime family musical,muppets most wanted,europe frog gulag prison break puppet,english
jonathan frakes,sophia myles,philip winchester,brady corbet,action adventure comedy family sci-fi,thunderbirds,astronaut island lady penelope rescue the hood,english
steve antin,eric dane,peter gallagher,david walton,drama music musical romance,burlesque,burlesque dancer iowa small town girl stage,english
jean-pierre jeunet,denis lavant,andré dussollier,albert dupontel,drama mystery romance war,a very long engagement,court martial death girl no man's land soldier,french
stanley kubrick,james mason,shelley winters,lois maxwell,crime drama romance,lolita,lolita nymphet older man young girl relationship professor writer,english
jim gillespie,sylvester stallone,tom berenger,charles s. dutton,crime horror mystery thriller,eye see you,drill in the eye eye gouging hanged woman murder peep hole,english
guillermo del toro,norman reedus,thomas kretschmann,tony curran,action horror sci-fi thriller,blade ii,blade the character cult film mutation vampire warrior,english
gabriele muccino,will smith,rosario dawson,madison pettis,drama romance,seven pounds,boyfriend girlfriend relationship heart main character dies organ donor redemption,english
walter hill,sylvester stallone,jason momoa,jon seda,action thriller,bullet to the head,bar bullet corruption detective lawyer,english
francis ford coppola,al pacino,joe mantegna,bridget fonda,crime drama,the godfather: part iii,1970s family relationships mob hit opera repeating history,english
cameron crowe,orlando bloom,kirsten dunst,judy greer,comedy drama romance,elizabethtown,flight flight attendant kentucky shoes travel,english
anthony russo,todd stashwick,billy gardell,amanda detmer,comedy romance,"you, me and dupree",best friend foot fetish houseguest newlywed wedding,english
richard lester,margot kidder,ned beatty,jackie cooper,action adventure romance sci-fi,superman ii,alien invasion based on comic book flying superhero phantom zone revenge,english
martin brest,todd giebenhain,lenny venito,david backus,comedy crime romance,gigli,gangster hospital lesbian mob thug,english
steven zaillian,kate winslet,anthony hopkins,kevin dunn,drama thriller,all the king's men,governor journalist louisiana mistress politician,english
john singleton,christian bale,vanessa williams,daniel von bargen,action crime thriller,shaft,blaxploitation detective drugs shaft trial,english
don bluth,kirsten dunst,kelsey grammer,bernadette peters,adventure animation drama family fantasy musical mystery romance,anastasia,amnesia reference to anastasia romanov romanov russia russian revolution,english
baz luhrmann,jim broadbent,kylie minogue,richard roxburgh,drama musical romance,moulin rouge!,death of main character eiffel tower paris jealousy tragedy two suitors,english
harold becker,steve buscemi,teri polo,matt o'leary,crime mystery thriller,domestic disturbance,amateur detective boat builder boy stepfather witness,english
scott cooper,johnny depp,benedict cumberbatch,adam scott,biography crime drama,black mass,based on true story boston massachusetts fbi agent gangster true crime,english
clint eastwood,paul walker,chris bauer,tom mccarthy,drama history war,flags of our fathers,imperial japan japan japanese army japanese soldier world war two,english
f. gary gray,gerard butler,leslie bibb,michael kelly,crime drama thriller,law abiding citizen,attorney deal district attorney investigation justice,english
robert rodriguez,quentin tarantino,rosario dawson,zoë bell,action horror thriller,grindhouse,anthropophagus blood and gore double feature real twins playing twins zombie,english
jonathan demme,oprah winfrey,kimberly elise,hill harper,drama history horror,beloved,farm freedom ohio slavery spirit,english
curtis hanson,robert downey jr.,robert duvall,kelvin han yee,drama romance sport,lucky you,losing poker poker player reference to frederic chopin reference to johannes brahms,english
steven spielberg,leonardo dicaprio,tom hanks,jennifer garner,biography crime drama,catch me if you can,attorney cat and mouse fbi pan am pilot,english
kathryn bigelow,jennifer ehle,harold perrineau,parker sawyers,drama history thriller,zero dark thirty,al qaeda cia interrogation lie navy seal,english
peyton reed,jon favreau,john michael higgins,ann-margret,comedy drama romance,the break-up,art break up football video game kitchen talking to one's self in a mirror,english
